2017-09-14 15:17:10,490 [8] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2017-09-14 15:18:34,174 [8] INFO  Umbraco.Core.PluginManager - [Thread 10] Completed resolution of types of umbraco.interfaces.ITree, found 35 (took 15ms)
2017-09-14 18:04:00,070 [8] INFO  Umbraco.Web.Security.WebSecurity - [Thread 109] User Id: 0 logged in
2017-09-14 18:04:18,047 [8] INFO  Umbraco.Core.PluginManager - [Thread 110] Starting resolution types of Umbraco.Web.Trees.TreeController
2017-09-14 18:04:18,049 [8] INFO  Umbraco.Core.PluginManager - [Thread 110] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 1ms)
2017-09-14 18:11:14,687 [8] INFO  Umbraco.Core.PluginManager - [Thread 19] Starting resolution types of umbraco.interfaces.ICacheRefresher
2017-09-14 18:11:14,729 [8] INFO  Umbraco.Core.PluginManager - [Thread 19] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 20 (took 42ms)
2017-09-14 18:35:39,280 [8] INFO  Umbraco.Web.Security.WebSecurity - [Thread 113] User Id: 0 logged in
2017-09-14 22:40:38,718 [8] INFO  Umbraco.Web.Security.WebSecurity - [Thread 110] User Id: 0 logged in
2017-09-14 22:40:38,747 [8] INFO  Umbraco.Core.PluginManager - [Thread 110] Starting resolution types of Umbraco.Web.Trees.TreeController
2017-09-14 22:40:38,748 [8] INFO  Umbraco.Core.PluginManager - [Thread 110] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 0ms)
2017-09-14 22:41:01,199 [8] INFO  Umbraco.Core.PluginManager - [Thread 117] Starting resolution types of Umbraco.Web.Trees.TreeController
2017-09-14 22:41:01,199 [8] INFO  Umbraco.Core.PluginManager - [Thread 117] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 0ms)
2017-09-14 22:41:47,174 [8] INFO  Umbraco.Core.PluginManager - [Thread 113] Starting resolution types of Umbraco.Web.Trees.TreeController
2017-09-14 22:41:47,174 [8] INFO  Umbraco.Core.PluginManager - [Thread 113] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 0ms)
